trade_id,location,target_date,strategy,status,resolution_source,entry_price,tp_price,shares,actual_exit_price,actual_pnl,hit_2x,first_touch_ts_utc,max_price_seen,hypothetical_exit_price,hypothetical_pnl,delta_vs_actual,token_source,has_adds
paper_5ac134f3-3584-41_1777757777,Sao Paulo,2026-05-04,core,resolved,early_exit_position_manager,0.19,0.38,1052.6315789473683,0.39,210.5263,True,1777879803,0.595,0.38,200.0,-10.5263,journal,False
paper_9b217cac-6511-41_1777757779,Seoul,2026-05-04,core,resolved,early_exit_position_manager,0.195,0.39,1025.6410256410256,0.055,-143.5897,False,,0.225,0.055,-143.5897,0.0,journal,False
paper_ba884967-132e-4c_1777759439,Los Angeles,2026-05-02,late,resolved,gamma,0.825,1.0,151.51515151515153,1.0,26.5152,False,,0.9995,1.0,26.5152,0.0,journal,False
paper_edab5cb4-a812-41_1777786258,Paris,2026-05-04,core,resolved,early_exit_position_manager,0.155,0.31,1290.3225806451612,0.0005,-199.3548,True,1777826407,0.465,0.31,200.0,399.3548,journal,False
paper_7ecb2a10-bc6e-45_1777815674,Singapore,2026-05-04,core,resolved,early_exit_position_manager,0.175,0.35,1142.857142857143,0.0145,-183.4286,True,1777819206,0.54,0.35,200.0,383.4286,journal,False
paper_9df07245-37d5-40_1777844240,Milan,2026-05-04,core,resolved,early_exit_position_manager,0.1495,0.299,2006.6889632107025,0.171,43.1438,True,1777901404,0.9995,0.299,300.0,256.8562,journal,False
paper_0b53a7c8-7041-4c_1777844243,Wellington,2026-05-05,core,resolved,early_exit_position_manager,0.16,0.32,1250.0,0.28,150.0,True,1777930804,0.475,0.32,200.0,50.0,journal,False
paper_d8f333d0-a063-4d_1777845850,Los Angeles,2026-05-03,late,resolved,gamma,0.895,1.0,139.66480446927375,1.0,14.6648,False,,0.9995,1.0,14.6648,0.0,journal,False
paper_d2790761-6131-42_1777930830,Warsaw,2026-05-06,core,resolved,early_exit_position_manager,0.49,0.98,612.2448979591837,0.43,-36.7347,False,,0.605,0.43,-36.7347,0.0,journal,False
paper_76d6a9ff-5bfa-47_1778052961,Houston,2026-05-06,punt,resolved,early_exit_position_manager,0.115,0.23,130.43478260869566,0.029,-11.2174,False,,0.1,0.029,-11.2174,0.0,journal,False
paper_dfeb70e4-9274-42_1778098520,Houston,2026-05-06,late,resolved,gamma,0.445,0.89,505.617978,1.0,280.618,True,1778100003,0.9995,0.89,225.0,-55.618,journal,True
paper_895d5554-a892-42_1778105201,Seattle,2026-05-06,late,resolved,manual,0.384,0.768,585.9375,1.0,360.9375,True,1778105404,0.9995,0.768,225.0,-135.9375,journal,True
paper_38abf7ec-031d-48_1778105204,San Francisco,2026-05-06,late,resolved,polymarket_cache,0.345,0.69,652.173913,1.0,427.1739,True,1778105404,0.9995,0.69,225.0,-202.1739,journal,True
paper_2d5d68aa-6d34-4c_1778166385,Paris,2026-05-08,core,resolved,gamma,0.325,0.65,597.014925,1.0,402.9851,True,1778247603,0.9995,0.65,194.0299,-208.9552,journal,False
paper_5a356cb1-4a94-48_1778166393,Seoul,2026-05-09,core,open,,0.355,0.71,547.945205,,,True,1778299085,0.71,0.71,194.5205,,journal,False
paper_59fe23ab-f8e3-46_1778166398,Tokyo,2026-05-09,core,open,,0.375,0.75,259.74026,,,False,,0.54,0.49,29.8701,,journal,False
paper_b5e61dd9-8dc4-41_1778166408,Shanghai,2026-05-08,core,resolved,early_exit_position_manager,0.395,0.79,246.91358,0.055,-83.9506,False,,0.455,0.055,-83.9506,0.0,journal,False
paper_f24821a0-7823-4a_1778166417,Beijing,2026-05-08,core,resolved,gamma,0.385,0.77,253.164557,1.0,155.6962,True,1778221805,0.9995,0.77,97.4684,-58.2278,journal,False
paper_2167c555-9cbc-46_1778171739,Munich,2026-05-09,core,resolved,early_exit_position_manager,0.31,0.62,967.741935483871,0.07,-232.2581,False,,0.31,0.07,-232.2581,0.0,journal,False
paper_52e1c17e-b2b8-4b_1778184040,Austin,2026-05-07,late,resolved,gamma,0.2865,0.573,785.340314,0.0,-225.0,False,,0.5685,0.0,-225.0,0.0,journal,True
paper_9c3a0f5c-406a-43_1778186711,Shanghai,2026-05-09,core,open,,0.30000000000000004,0.6,333.33333333333326,,,False,,0.45,0.315,5.0,,journal,False
paper_3f727cf2-0937-4d_1778186713,Ankara,2026-05-09,core,open,,0.365,0.73,547.945205479452,,,False,,0.575,0.575,115.0685,,journal,False
paper_580c53be-1701-40_1778231101,Tel Aviv,2026-05-10,core,open,,0.305,0.61,1016.949152542373,,,False,,0.365,0.365,61.0169,,journal,False
paper_9fe214cf-e859-42_1778231103,Tel Aviv,2026-05-09,core,open,,0.365,0.73,869.5652173913044,,,False,,0.495,0.495,113.0435,,journal,False
paper_b3f912f7-16b1-4c_1778245924,Tokyo,2026-05-10,core,open,,0.335,0.67,298.5074626865671,,,False,,0.335,0.24,-28.3582,,journal,False
paper_be0f8cac-7660-45_1778245932,Ankara,2026-05-10,core,open,,0.335,0.67,597.0149253731342,,,False,,0.36,0.355,11.9403,,journal,False
paper_d9fd8f27-c6cf-49_1778288983,Warsaw,2026-05-10,core,open,,0.31,0.62,967.741935483871,,,False,,0.315,0.315,4.8387,,journal,False
paper_5ec4e68a-f62c-49_1778288984,Toronto,2026-05-10,core,open,,0.33,0.66,606.060606060606,,,False,,0.33,0.31,-12.1212,,journal,False
